
1,"ゲームオブスローンズ最終章の撮影一年間を追ったドキュメンタリー。

もの凄い数の人が関わっていたんだな〜エキストラだけで300人超えるしその1人1人にメイクや衣装を担当する人がいたりインフラ担当や人…
>>続きを読む"
2,"ゲームオブスローンズファイナルシーズンの制作に焦点を当てたドキュメンタリー映画。

GOT本編はオールタイムベストドラマだし、あの作品に携わったスタッフには感謝しかないけど、それでも今作の出来はかな…
>>続きを読む"
3,"素晴らしいです
キット絶対いい人やん
失礼ですが欧米人の不真面目さを知ってるからこういう現場仕事の裏側は見てるとドキドキするし、どうやってとりまとめているのか謎😅"
4,"ちょっぴり今更…！また本編を最初から観たくなってしまった。

和気藹々とした本読みにほっこり。エミリア・クラークとヘアメイクさんの関係性も素敵。やっぱり彼女の豊かで愛らしい表情が大好き。どこかのイン…
>>続きを読む"
5,"以前（昨年？）、エミー賞授賞式をネット配信で見ていたら司会者の発言にびっくり。『ゲーム・オブ・スローンズ』シリーズ（'11〜'19）は通算で159個ノミネートされ、59個も受賞したのだそう。全部エミ…
>>続きを読む"
6,"終わって欲しい気持ちと終わって欲しくない気持ち。皆が口々に苦しさを語っていて、本当にこれ以上の作品を人類には作れないと確信した。予想より遥かに、それでも想像できないほどの苦労があって、締め切りや予算…
>>続きを読む"
7,"ゲームオブスローンズ最終章の裏側に密着したドキュメンタリー。
こんな素晴らしいドラマを作ってくれてありがとう😭😭"
8,"制作に携わるスタッフみんな愚痴ってた。
それほどまでに苦労して作られた本編ということ。"
9,"最終章を見終わって、ロス状態の時に見つけたドキュメンタリー。

最終章の撮影にかけた1年間の記録。

映画とかドラマってストーリーや舞台が壮大であればある程、もの凄い人数が個々の役割を担って、複雑に…
>>続きを読む
#おけい海外ドラマ#おけいドキュメンタリー"
10,"ほんっっっっっっとに最高！！！！！！！
最終章観たあとに見るべき。
なぜなら最終章の撮影一年を追ったドキュメント。

今まで観てきた作品でもゲーム・オブ・スローンズの圧倒的な世界観とスケールの大きさ…
>>続きを読む"
Review Number,Review Text
1,
2,"本編好きなら観ておけ！

↑これもわかりますし

本編の世界観が好きで
まだ興奮が冷めていないなら
逆に観ない方がいいかも

↑これもわかるなあ


アメリカイチのドラマといえば、
で有名な ""ゲー…
>>続きを読む
#ゲームオブスローンズ#GoT#ラストウォッチ"
3,"ビハインド観るたびに思うけどすごいたくさんの人が携わってるんだなって思う。
8-3のシーン暗すぎだろふざけんなよ😡って思ってたけど夜の王とか明るいところで映って　てるの観たら納得だよねあれじゃあゴム…
>>続きを読む"
4,"東京にきてからまだ一本も映画観てない、、というか引越しもあったけん、2ヶ月くらいみてないかも、やだやだやだ
はやくみてぇ

あ、GOTは人生の傑作でふ"
5,"ドキュメンタリーとして最高なのでは。
市井の人々を描ききったゲームオブスローンズにぴったりの内容。現場のインフラ管理してる口悪い姐さん最高だった。撮影が如何に過酷であったか物凄く伝わってくる。"
